Date,Country,Predicted_Vaccinations
2022-03-24,Samoa,323750.8853816986
2022-03-25,Samoa,329171.843000412
2022-03-26,Samoa,335216.51714229584
2022-03-27,Samoa,341677.94796943665
2022-03-28,Samoa,348479.00428795815
2022-03-29,Samoa,355499.184122324
2022-03-30,Samoa,362203.32110619545
2022-03-31,Samoa,369125.801428318
2022-03-24,Saudi Arabia,60875837.87341696
2022-03-25,Saudi Arabia,60980969.7094931
2022-03-26,Saudi Arabia,61065148.64522612
2022-03-27,Saudi Arabia,61136389.24848235
2022-03-28,Saudi Arabia,61193318.65346986
2022-03-29,Saudi Arabia,61238656.61863589
2022-03-30,Saudi Arabia,61278636.69676536
2022-03-31,Saudi Arabia,61313837.71775973
2022-03-23,Serbia,8559799.963352442
2022-03-24,Serbia,8566323.318028927
2022-03-25,Serbia,8574559.72365427
2022-03-26,Serbia,8584448.469621897
2022-03-27,Serbia,8595345.011658669
2022-03-28,Serbia,8607215.95893097
2022-03-29,Serbia,8619547.294969797
2022-03-30,Serbia,8632388.600103855
2022-03-31,Serbia,8645493.996376514
2022-03-29,Singapore,13809614.43455088
2022-03-30,Singapore,13815871.538597045
2022-03-31,Singapore,13821366.385137258
2022-03-26,Sint Maarten (Dutch part),60681.3138769865
2022-03-27,Sint Maarten (Dutch part),61313.25851756334
2022-03-28,Sint Maarten (Dutch part),61869.46746432781
2022-03-29,Sint Maarten (Dutch part),62062.02868783474
2022-03-30,Sint Maarten (Dutch part),62212.20682036877
2022-03-31,Sint Maarten (Dutch part),62342.580312013626
2022-03-28,Slovakia,7286808.836734772
2022-03-29,Slovakia,7307095.869956017
2022-03-30,Slovakia,7329437.222708702
2022-03-31,Slovakia,7354256.483290672
2022-03-30,Slovenia,2984177.8469330072
2022-03-31,Slovenia,2984869.8517183065
2022-03-29,Solomon Islands,352768.49970185757
2022-03-30,Solomon Islands,362492.75528788567
2022-03-31,Solomon Islands,372020.2728147507
2022-03-23,Somalia,2504632.3170175552
2022-03-24,Somalia,2614355.1637306213
2022-03-25,Somalia,2724362.560549736
2022-03-26,Somalia,2835933.0823311806
2022-03-27,Somalia,2942097.6951322556
2022-03-28,Somalia,3048190.627372265
2022-03-29,Somalia,3153736.452299595
2022-03-30,Somalia,3248759.082131386
2022-03-31,Somalia,3339850.141795635
2022-03-30,South Africa,33252884.91527045
2022-03-31,South Africa,33285268.436855618
2022-03-30,South Korea,120599801.1772032
2022-03-31,South Korea,120631087.738876
2022-03-24,South Sudan,639793.455955863
2022-03-25,South Sudan,729958.2986351252
2022-03-26,South Sudan,851076.8302333355
2022-03-27,South Sudan,1011392.9250200987
2022-03-28,South Sudan,1212604.482310295
2022-03-29,South Sudan,1462226.5300590992
2022-03-30,South Sudan,1747415.2085387707
2022-03-31,South Sudan,2045790.1646676064
2022-03-24,Spain,92407559.49813282
2022-03-25,Spain,92473132.694592
2022-03-26,Spain,92500142.95229179
2022-03-27,Spain,92498779.87000042
2022-03-28,Spain,92479501.19382215
2022-03-29,Spain,92446675.49077272
2022-03-30,Spain,92403559.63370407
2022-03-31,Spain,92352483.15259773
2022-03-23,Sri Lanka,38560529.00666696
2022-03-24,Sri Lanka,38564973.64129937
2022-03-25,Sri Lanka,38549973.290751815
2022-03-26,Sri Lanka,38522175.09606868
2022-03-27,Sri Lanka,38479211.07152027
2022-03-28,Sri Lanka,38429828.31399983
2022-03-29,Sri Lanka,38375914.6861462
2022-03-30,Sri Lanka,38319400.00310129
2022-03-31,Sri Lanka,38258030.48317158
2022-03-28,Suriname,503682.82641541964
2022-03-29,Suriname,504077.70541673905
2022-03-30,Suriname,504438.9335458875
2022-03-31,Suriname,504731.08566665655
2022-03-26,Sweden,21777621.146656036
2022-03-27,Sweden,21881144.843102932
2022-03-28,Sweden,21989910.84924555
2022-03-29,Sweden,22102817.502108097
2022-03-30,Sweden,22218620.098191738
2022-03-31,Sweden,22335659.869325638
2022-03-29,Switzerland,15616745.928275824
2022-03-30,Switzerland,15617615.410907388
2022-03-31,Switzerland,15617875.41696763
2022-03-24,Syria,3974100.77495718
2022-03-25,Syria,4155610.082045555
2022-03-26,Syria,4342817.849813938
2022-03-27,Syria,4460829.162954807
2022-03-28,Syria,4590677.594305515
2022-03-29,Syria,4725801.158343792
2022-03-30,Syria,4866104.264877796
2022-03-31,Syria,5002921.14088583
2022-03-30,Taiwan,50026785.641709566
2022-03-31,Taiwan,50109124.62319279
2022-03-22,Tunisia,13030580.657054245
2022-03-23,Tunisia,13033504.038739145
2022-03-24,Tunisia,13036322.51438272
2022-03-25,Tunisia,13039040.746475697
2022-03-26,Tunisia,13041696.812025666
2022-03-27,Tunisia,13044323.348467708
2022-03-28,Tunisia,13046785.14357078
2022-03-29,Tunisia,13049194.097112298
2022-03-30,Tunisia,13051615.483962417
2022-03-31,Tunisia,13053760.229696155
2022-03-30,Turkey,147093062.33358037
2022-03-31,Turkey,147141651.7191584
2022-03-29,UK,141416033.62254593
2022-03-30,UK,141471276.52058885
2022-03-31,UK,141538537.34542176
2022-03-30,United Arab Emirates,24249402.843232635
2022-03-31,United Arab Emirates,24279196.828059856
2022-03-30,Uruguay,7982316.595952034
2022-03-31,Uruguay,7990588.357964516
2022-03-29,USA,560915317.2609072
